"Value","Counts"
"Tinker'S Construct",149
"Nuclear Control",141
"Applied Energistics",136
"Better World Generation 4",115
"Industrial Craft",99
"Thermal Expansion",95
"Mine Factory Reloaded",89
"Twilight Forest",83
"Buildcraft",81
"Nei",79
"Biomes O Plenty",76
"Ender Storage",66
"Openblocks",61
"Thaumcraft",61
"Computercraft",59
"Railcraft",59
"Forestry",54
"Inventory Tweaks",45
"Factorization",40
"Mystcraft",34
"Thaumic Tinkerer",31
"Chicken Bones Mods",30
"Open*",30
"Extra Utilities",29
"Waila",29
"Wr-Cbe",28
"Iron Chests",27
"Optifine",27
"Damage Indicators",23
"Metallurgy",21
"Project Red",21
"Steve'S Carts",21
"Translocators",19
"Logistics Pipes",17
"Hats",17
"Gregtech",16
"Chickenchunks",16
"Gravisuite",14
"Advanced Solar Panels",12
"Alkhest",12
"Mekanism",11
"Extra Bees",10
"Forge",10
"Extra Trees",10
"Trail Mix",10
"Fmp",10
"Magic Bees",9
"Equivalent Exchange 3",9
"Portalgun / Grafity Gun (But With Sound!!!)",8
"Dartcraft",7
"Soul Shards",7
"Endercraft? (The One With Tesseracts)",6
"Ic2 And Bc Addons",6
"Binnies Mods",6
"Modular Powersuits",5
"Dimensional Doors",5
"Xeno'S Reliquary",5
"Chisel",5
"Modular Force Field Systems",4
"Portal Gun",4
"Morph",4
"Super Crafting Frame",4
"Mapwriter",4
"Enderio",4
"Somesort Of Biome Mod",4
"Extra Cells",3
"Omniwrench",3
"Blood Magic",3
"Universal Electricity",3
"Extra Bees And Trees",3
"Nei + Waila",3
